season,week,posteam,qb_actual,primary_qb,attempts,category,notes
2022,1,NO,J.Winston,A.Dalton,39,controversy,Winston named starter over Dalton before season; then Dalton won job week 3
2022,1,NYJ,J.Flacco,Z.Wilson,62,controversy,Flacco bridging until Wilson was benched/healthy — Wilson won job back wk 6
2022,1,PIT,M.Trubisky,K.Pickett,39,controversy,"Trubisky named starter, Pickett won job by wk 4"
2022,1,SF,T.Lance,J.Garoppolo,30,controversy,Lance named starter wk 1 — Garoppolo was the returning starter; Lance won job
2022,1,WAS,C.Wentz,T.Heinicke,44,controversy,Wentz named starter over Heinicke to begin season
2022,2,DAL,C.Rush,D.Prescott,32,injury,"Prescott injured wk 1, Rush started wks 2-6"
2022,2,NO,J.Winston,A.Dalton,46,controversy,Winston vs Dalton competition continued
2022,2,NYJ,J.Flacco,Z.Wilson,46,controversy,Flacco bridging for Wilson
2022,2,PIT,M.Trubisky,K.Pickett,37,controversy,"Trubisky still starting, Pickett waiting"
2022,2,WAS,C.Wentz,T.Heinicke,53,controversy,Wentz starting
2022,3,DAL,C.Rush,D.Prescott,31,injury,Rush filling in for injured Prescott
2022,3,NO,J.Winston,A.Dalton,42,controversy,Winston vs Dalton competition continued
2022,3,NYJ,J.Flacco,Z.Wilson,56,controversy,Flacco bridging for Wilson
2022,3,PIT,M.Trubisky,K.Pickett,33,controversy,Trubisky still starting
2022,3,WAS,C.Wentz,T.Heinicke,53,controversy,Wentz starting
2022,4,DAL,C.Rush,D.Prescott,28,injury,Rush filling in for injured Prescott
2022,4,MIA,T.Bridgewater,T.Tagovailoa,23,injury,"Tua concussion protocol, Bridgewater started"
2022,4,NE,B.Zappe,M.Jones,18,injury,"Jones injured, Zappe stepped in"
2022,4,PIT,M.Trubisky,K.Pickett,16,injury,Trubisky benched/replaced by Pickett mid-game wk 4
2022,4,WAS,C.Wentz,T.Heinicke,44,controversy,Wentz starting
2022,5,DAL,C.Rush,D.Prescott,19,injury,Rush filling in for injured Prescott
2022,5,MIA,S.Thompson,T.Tagovailoa,35,injury,"Tua concussion protocol, Thompson started"
2022,5,NE,B.Zappe,M.Jones,21,injury,"Jones injured, Zappe stepped in"
2022,5,WAS,C.Wentz,T.Heinicke,41,controversy,Wentz starting
2022,6,CAR,P.Walker,B.Mayfield,18,benched,"Baker benched, PJ Walker took over"
2022,6,DAL,C.Rush,D.Prescott,38,injury,Rush filling in for injured Prescott
2022,6,MIA,T.Bridgewater,T.Tagovailoa,40,injury,"Tua concussion protocol, Bridgewater started"
2022,6,NE,B.Zappe,M.Jones,36,injury,"Jones still out, Zappe starting"
2022,6,WAS,C.Wentz,T.Heinicke,26,injury,"Wentz injured wk 5, Heinicke took over"
2022,7,CAR,P.Walker,B.Mayfield,23,benched,Walker continuing as starter
2022,7,DEN,B.Rypien,R.Wilson,47,injury,"Wilson injured, Rypien filled in"
2022,7,NE,B.Zappe,M.Jones,23,controversy,Zappe benched for Jones return — brief controversy
2022,8,CAR,P.Walker,B.Mayfield,37,benched,Walker continuing as starter
2022,8,IND,S.Ehlinger,M.Ryan,25,benched,"Ryan benched, Ehlinger took over"
2022,8,TEN,M.Willis,R.Tannehill,13,injury,"Tannehill injured, Willis started"
2022,9,IND,S.Ehlinger,M.Ryan,38,benched,Ehlinger continuing as starter
2022,9,TEN,M.Willis,R.Tannehill,19,injury,"Tannehill still out, Willis starting"
2022,10,ARI,C.McCoy,K.Murray,39,injury,"Murray injured wk 6, McCoy started"
2022,10,CAR,P.Walker,B.Mayfield,17,benched,Walker continuing then Darnold
2022,10,LA,J.Wolford,M.Stafford,39,injury,"Stafford injured, Wolford started"
