season,week,posteam,starter,finisher,finisher_attempts,starter_sh_attempts
2006,6,BAL,S.McNair,K.Boller,20,0
2006,7,DAL,D.Bledsoe,T.Romo,27,0
2006,11,GB,B.Favre,A.Rodgers,13,0
2006,11,PHI,D.McNabb,J.Garcia,42,0
2006,13,CLE,C.Frye,D.Anderson,18,0
2006,15,BAL,S.McNair,K.Boller,13,0
2006,15,JAX,M.Jones,D.Garrard,21,0
2006,15,TB,B.Gradkowski,T.Rattay,29,0
2006,16,ARI,M.Leinart,K.Warner,14,0
2006,16,MIA,J.Harrington,C.Lemon,18,0
2006,17,ATL,M.Vick,M.Schaub,23,1
2006,17,CHI,R.Grossman,B.Griese,16,0
2006,17,JAX,D.Garrard,Q.Gray,23,1
2006,17,NO,D.Brees,J.Martin,20,0
2006,17,PHI,J.Garcia,A.Feeley,17,0
2007,1,CLE,C.Frye,D.Anderson,18,0
2007,3,BUF,J.Losman,T.Edwards,11,0
2007,3,LV,J.McCown,D.Culpepper,14,0
2007,4,SF,A.Smith,T.Dilfer,22,0
2007,5,ARI,M.Leinart,K.Warner,14,0
2007,5,MIA,T.Green,C.Lemon,16,0
2007,6,ARI,K.Warner,T.Rattay,18,0
2007,7,ATL,B.Leftwich,J.Harrington,20,1
2007,7,HOU,M.Schaub,S.Rosenfels,33,0
2007,7,JAX,D.Garrard,Q.Gray,24,0
2007,8,CAR,V.Testaverde,D.Carr,25,0
2007,8,HOU,M.Schaub,S.Rosenfels,22,0
2007,9,DEN,J.Cutler,P.Ramsey,41,0
2007,9,MIN,T.Jackson,B.Bollinger,7,0
2007,10,CHI,B.Griese,R.Grossman,16,0
2007,11,MIN,S.Rice,T.Jackson,9,1
2007,11,PHI,D.McNabb,A.Feeley,13,0
2007,12,LA,M.Bulger,G.Frerotte,23,0
2007,13,GB,B.Favre,A.Rodgers,20,0
2007,13,HOU,M.Schaub,S.Rosenfels,22,0
2007,14,CHI,R.Grossman,B.Griese,26,0
2007,14,IND,P.Manning,J.Sorgi,5,1
2007,14,MIA,J.Beck,C.Lemon,30,0
2007,14,SF,T.Dilfer,S.Hill,29,0
2007,14,WAS,J.Campbell,T.Collins,15,0
2007,15,NYJ,K.Clemens,C.Pennington,33,0
2007,16,KC,B.Croyle,D.Huard,27,0
2007,16,LV,J.McCown,J.Russell,16,0
2007,16,TB,J.Garcia,L.McCown,31,0
2007,17,GB,B.Favre,C.Nall,11,0
2007,17,IND,P.Manning,J.Sorgi,17,0
2007,17,MIA,C.Lemon,J.Beck,20,0
2007,17,SEA,M.Hasselbeck,S.Wallace,24,0
2008,1,NE,T.Brady,M.Cassel,10,0
2008,2,KC,D.Huard,T.Thigpen,26,0
2008,5,BUF,T.Edwards,J.Losman,19,0
2008,5,DET,J.Kitna,D.Orlovsky,24,0
2008,7,KC,B.Croyle,T.Thigpen,12,0
2008,8,SF,J.O'Sullivan,S.Hill,25,0
2008,9,CHI,K.Orton,R.Grossman,19,0
2008,9,DAL,B.Johnson,B.Bollinger,18,0
2008,9,HOU,M.Schaub,S.Rosenfels,31,0
2008,9,PIT,B.Roethlisberger,B.Leftwich,12,0
2008,10,DET,D.Culpepper,D.Stanton,12,2
2008,10,LA,M.Bulger,T.Green,10,0
2008,12,LA,M.Bulger,T.Green,19,0
2008,12,PHI,D.McNabb,K.Kolb,23,0
2008,13,BUF,T.Edwards,J.Losman,20,0
2008,14,LV,J.Russell,A.Walter,19,0
2008,14,MIN,G.Frerotte,T.Jackson,11,0
2008,17,NYG,E.Manning,D.Carr,12,0
2008,17,PIT,B.Roethlisberger,B.Leftwich,7,0
2008,17,TEN,K.Collins,V.Young,11,0
2009,1,WAS,A.Randle El,J.Campbell,16,0
2009,2,SEA,M.Hasselbeck,S.Wallace,22,0
2009,3,CLE,B.Quinn,D.Anderson,20,0
2009,3,LA,M.Bulger,K.Boller,18,0
2009,5,NYG,E.Manning,D.Carr,8,0
2009,6,BUF,T.Edwards,R.Fitzpatrick,15,0
2009,6,DET,D.Culpepper,D.Stanton,14,0
2009,6,WAS,J.Campbell,T.Collins,16,0
2009,7,LV,J.Russell,B.Gradkowski,18,0
2009,7,SF,S.Hill,A.Smith,21,0
2009,10,DEN,K.Orton,C.Simms,16,0
2009,11,ARI,K.Warner,M.Leinart,14,0
2009,11,DEN,C.Simms,K.Orton,26,0
2009,12,ATL,M.Ryan,C.Redman,31,0
2009,13,NYJ,M.Sanchez,K.Clemens,5,2
2009,14,LV,B.Gradkowski,J.Russell,22,0
2009,14,TEN,V.Young,K.Collins,9,0
2009,15,DET,D.Culpepper,D.Stanton,19,0
2009,15,LV,C.Frye,J.Russell,12,2
2009,17,ARI,K.Warner,M.Leinart,13,0
2009,17,CIN,C.Palmer,J.O'Sullivan,11,0
2009,17,IND,P.Manning,C.Painter,12,0
2009,17,LA,K.Null,K.Boller,14,2
2009,17,LAC,P.Rivers,B.Volek,23,0
2009,17,LV,C.Frye,J.Russell,16,0
2009,17,MIA,C.Henne,T.Thigpen,8,0
2010,1,DET,M.Stafford,Sh.Hill,11,0
2010,1,PHI,K.Kolb,M.Vick,27,0
2010,2,LV,J.Campbell,B.Gradkowski,22,0
2010,2,PIT,D.Dixon,C.Batch,6,0
2010,4,ARI,D.Anderson,M.Hall,14,0
2010,4,CHI,J.Cutler,T.Collins,11,0
2010,4,PHI,M.Vick,K.Kolb,28,0
2010,5,CLE,S.Wallace,J.Delhomme,23,0
2010,5,LV,B.Gradkowski,J.Campbell,12,2
2010,6,DET,Sh.Hill,D.Stanton,30,0
2010,6,JAX,D.Garrard,T.Edwards,17,0
2010,7,ARI,M.Hall,D.Anderson,17,2
2010,7,DAL,T.Romo,J.Kitna,32,0
